,w8脉冲幅值,w8幅值_固定,w8幅值_跳变,w8幅值_滑变,w8幅值_组变,w8幅值_参差,w8脉冲载频,w8载频_固定,w8载频_跳变,w8载频_滑变,w8载频_组变,w8载频_参差,w8重复周期,w8周期_固定,w8周期_跳变,w8周期_滑变,w8周期_组变,w8周期_参差,w8脉冲宽度,w8脉宽_固定,w8脉宽_跳变,w8脉宽_滑变,w8脉宽_组变,w8脉宽_参差,标签
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10,36.27534030963957,0.0,36.27534030963957,0.0,0.0,0.0,9560.0,0.0,0.0,0.0,9560.0,0.0,13.3,0.0,0.0,13.3,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,2.0
11,47.28169198145981,0.0,47.28169198145981,0.0,0.0,0.0,9560.0,0.0,0.0,0.0,9560.0,0.0,13.35,0.0,0.0,13.35,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.26,2.0
12,38.45611042366922,0.0,38.45611042366922,0.0,0.0,0.0,9560.0,0.0,0.0,0.0,9560.0,0.0,13.400000000000002,0.0,0.0,13.400000000000002,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37,2.0
13,50.741053855329326,0.0,50.741053855329326,0.0,0.0,0.0,9560.0,0.0,0.0,0.0,9560.0,0.0,13.450000000000005,0.0,0.0,13.450000000000005,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.48,2.0
14,36.36963775717798,0.0,36.36963775717798,0.0,0.0,0.0,9560.0,0.0,0.0,0.0,9560.0,0.0,13.500000000000004,0.0,0.0,13.500000000000004,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.59,2.0
